,Unnamed: 0,root,base,class,split,class name,Circles,Avg Circles Area,Circle Centers STD,Contour Area,Contour Count,Contour Area Std
0,0,Original/Early/WBC-Malignant-Early-384.jpg,WBC-Malignant-Early-384.jpg,2,train,Early,29,1694.6145963344868,120.20189442252308,,0,
1,1,Original/Early/WBC-Malignant-Early-390.jpg,WBC-Malignant-Early-390.jpg,2,train,Early,33,1613.9748670005483,122.1485496948053,490.5,5,104.59015250012786
2,2,Original/Early/WBC-Malignant-Early-409.jpg,WBC-Malignant-Early-409.jpg,2,train,Early,31,1643.2223768723172,117.91794161280008,434.5,2,16.0
3,3,Original/Early/WBC-Malignant-Early-347.jpg,WBC-Malignant-Early-347.jpg,2,train,Early,38,1743.0719268613664,117.37994573497504,249.0,2,161.5
4,4,Original/Early/WBC-Malignant-Early-421.jpg,WBC-Malignant-Early-421.jpg,2,train,Early,24,1646.6475398345262,113.37655199475738,200.0,2,150.5
5,5,Original/Early/WBC-Malignant-Early-435.jpg,WBC-Malignant-Early-435.jpg,2,train,Early,40,1573.1224139923834,120.2429895373887,549.125,4,205.60410228154495
6,6,Original/Early/WBC-Malignant-Early-353.jpg,WBC-Malignant-Early-353.jpg,2,train,Early,33,1598.7127790194331,117.26243566222848,,0,
7,7,Original/Early/WBC-Malignant-Early-804.jpg,WBC-Malignant-Early-804.jpg,2,train,Early,35,1660.6394944774972,116.03669841069178,484.5,1,0.0
8,8,Original/Early/WBC-Malignant-Early-810.jpg,WBC-Malignant-Early-810.jpg,2,train,Early,33,1575.955592011963,120.79061395152088,33.5,1,0.0
9,9,Original/Early/WBC-Malignant-Early-838.jpg,WBC-Malignant-Early-838.jpg,2,train,Early,22,1575.955592011963,111.5201966899702,487.0,1,0.0
10,10,Original/Early/WBC-Malignant-Early-186.jpg,WBC-Malignant-Early-186.jpg,2,train,Early,19,1574.7623642735373,121.14471803234184,645.0,3,271.23145097867985
11,11,Original/Early/WBC-Malignant-Early-192.jpg,WBC-Malignant-Early-192.jpg,2,train,Early,20,1579.358770273322,97.49581793491504,423.8333333333333,3,91.24174239653448
12,12,Original/Early/WBC-Malignant-Early-179.jpg,WBC-Malignant-Early-179.jpg,2,train,Early,23,1590.778732806206,125.85307833626617,512.25,2,2.25
13,13,Original/Early/WBC-Malignant-Early-623.jpg,WBC-Malignant-Early-623.jpg,2,train,Early,28,1723.404135853486,120.2083559377246,573.75,6,312.78996547204
14,14,Original/Early/WBC-Malignant-Early-145.jpg,WBC-Malignant-Early-145.jpg,2,train,Early,23,1712.8894337610834,121.13886955140084,478.0,1,0.0
15,15,Original/Early/WBC-Malignant-Early-151.jpg,WBC-Malignant-Early-151.jpg,2,train,Early,24,1573.1224139923834,118.68036698620658,394.1666666666667,3,128.85737162546124
16,16,Original/Early/WBC-Malignant-Early-637.jpg,WBC-Malignant-Early-637.jpg,2,train,Early,27,1555.8639333025926,116.24287914689302,625.0,2,188.0
17,17,Original/Early/WBC-Malignant-Early-970.jpg,WBC-Malignant-Early-970.jpg,2,test,Early,16,1450.9860595289026,93.73402395948403,,0,
18,18,Original/Early/WBC-Malignant-Early-964.jpg,WBC-Malignant-Early-964.jpg,2,test,Early,30,1633.9239748274556,130.1059468184923,374.875,4,83.48530933643356
19,19,Original/Early/WBC-Malignant-Early-794.jpg,WBC-Malignant-Early-794.jpg,2,train,Early,21,1443.871649752111,114.87687869221554,,0,
20,20,Original/Early/WBC-Malignant-Early-958.jpg,WBC-Malignant-Early-958.jpg,2,test,Early,28,1622.4547000214252,112.078190491483,601.1,5,111.09068367779541
21,21,Original/Early/WBC-Malignant-Early-780.jpg,WBC-Malignant-Early-780.jpg,2,train,Early,30,1798.7354020985354,122.77381719937844,449.0,2,127.0
22,22,Original/Early/WBC-Malignant-Early-019.jpg,WBC-Malignant-Early-019.jpg,2,train,Early,17,1759.760709978317,111.1994929743959,628.3333333333334,6,231.7927714336426
23,23,Original/Early/WBC-Malignant-Early-757.jpg,WBC-Malignant-Early-757.jpg,2,train,Early,21,1631.5060336494653,106.65575016509916,29.5,1,0.0
24,24,Original/Early/WBC-Malignant-Early-031.jpg,WBC-Malignant-Early-031.jpg,2,train,Early,21,1595.4517645107917,109.05529951505594,462.8333333333333,3,393.6327250397536
25,25,Original/Early/WBC-Malignant-Early-025.jpg,WBC-Malignant-Early-025.jpg,2,train,Early,22,1786.6430975327382,125.10466285395049,553.5,1,0.0
26,26,Original/Early/WBC-Malignant-Early-743.jpg,WBC-Malignant-Early-743.jpg,2,train,Early,27,1754.5963379714417,122.94687864412012,,0,
27,27,Original/Early/WBC-Malignant-Early-596.jpg,WBC-Malignant-Early-596.jpg,2,train,Early,22,1703.138903271455,109.49259602893818,,0,
28,28,Original/Early/WBC-Malignant-Early-582.jpg,WBC-Malignant-Early-582.jpg,2,train,Early,29,1784.978394061464,114.01167616737726,424.0833333333333,6,173.28334615754497
29,29,Original/Early/WBC-Malignant-Early-569.jpg,WBC-Malignant-Early-569.jpg,2,train,Early,23,1526.075919832713,115.75138247167368,475.5,1,0.0
30,30,Original/Early/WBC-Malignant-Early-233.jpg,WBC-Malignant-Early-233.jpg,2,train,Early,34,1534.877163330658,114.5650790648464,371.25,6,259.9635791798536
31,31,Original/Early/WBC-Malignant-Early-555.jpg,WBC-Malignant-Early-555.jpg,2,train,Early,28,1704.8230949147005,119.01480266261429,560.25,4,394.1437713576101
32,32,Original/Early/WBC-Malignant-Early-541.jpg,WBC-Malignant-Early-541.jpg,2,train,Early,32,1675.9918356455346,119.3672505589192,,0,
33,33,Original/Early/WBC-Malignant-Early-227.jpg,WBC-Malignant-Early-227.jpg,2,train,Early,28,1577.5756953149412,120.3868219407075,207.5,2,181.0
34,34,Original/Early/WBC-Malignant-Early-540.jpg,WBC-Malignant-Early-540.jpg,2,train,Early,29,1404.9340790497188,116.10816955143382,407.0,2,87.0
35,35,Original/Early/WBC-Malignant-Early-226.jpg,WBC-Malignant-Early-226.jpg,2,train,Early,25,1606.9453015348067,112.42816787747972,530.0,1,0.0
36,36,Original/Early/WBC-Malignant-Early-232.jpg,WBC-Malignant-Early-232.jpg,2,train,Early,32,1628.1088330433745,114.85847776121572,418.375,4,240.35868379361708
37,37,Original/Early/WBC-Malignant-Early-554.jpg,WBC-Malignant-Early-554.jpg,2,train,Early,27,1630.163506626568,114.60004887984208,,0,
38,38,Original/Early/WBC-Malignant-Early-568.jpg,WBC-Malignant-Early-568.jpg,2,train,Early,25,1606.9453015348067,117.65531606658467,407.25,2,100.25
39,39,Original/Early/WBC-Malignant-Early-583.jpg,WBC-Malignant-Early-583.jpg,2,train,Early,33,1516.0673037820284,119.71749060492662,388.6666666666667,6,187.1141956726486
40,40,Original/Early/WBC-Malignant-Early-597.jpg,WBC-Malignant-Early-597.jpg,2,train,Early,32,1526.742983935702,122.81869373116548,779.0,1,0.0
41,41,Original/Early/WBC-Malignant-Early-024.jpg,WBC-Malignant-Early-024.jpg,2,train,Early,16,1542.1256876702123,114.12199623332344,160.0,1,0.0
42,42,Original/Early/WBC-Malignant-Early-742.jpg,WBC-Malignant-Early-742.jpg,2,train,Early,28,1714.1010266029696,110.47326719987304,555.25,2,121.25
43,43,Original/Early/WBC-Malignant-Early-756.jpg,WBC-Malignant-Early-756.jpg,2,train,Early,28,1507.0785210214458,110.59248549267944,616.1666666666666,3,125.94994596620074
44,44,Original/Early/WBC-Malignant-Early-030.jpg,WBC-Malignant-Early-030.jpg,2,train,Early,17,1622.98643445457,118.67225518612474,397.25,2,118.75
45,45,Original/Early/WBC-Malignant-Early-018.jpg,WBC-Malignant-Early-018.jpg,2,train,Early,21,1680.2050340503056,102.51847195073653,480.5,4,43.51292911308086
46,46,Original/Early/WBC-Malignant-Early-781.jpg,WBC-Malignant-Early-781.jpg,2,train,Early,30,1608.6248888793298,110.58730422611102,,0,
47,47,Original/Early/WBC-Malignant-Early-959.jpg,WBC-Malignant-Early-959.jpg,2,test,Early,14,1667.9631437841017,110.71950422660588,676.25,2,269.25
48,48,Original/Early/WBC-Malignant-Early-795.jpg,WBC-Malignant-Early-795.jpg,2,train,Early,27,1430.0095539987149,115.88569693064716,525.25,2,9.75
49,49,Original/Early/WBC-Malignant-Early-965.jpg,WBC-Malignant-Early-965.jpg,2,test,Early,12,1689.4158255725808,116.02555204618764,,0,
50,50,Original/Early/WBC-Malignant-Early-971.jpg,WBC-Malignant-Early-971.jpg,2,test,Early,17,1477.503684459273,107.25293861262185,473.0,2,30.5
51,51,Original/Early/WBC-Malignant-Early-150.jpg,WBC-Malignant-Early-150.jpg,2,train,Early,22,1691.3728666197435,106.6272612192014,674.75,2,214.75
52,52,Original/Early/WBC-Malignant-Early-636.jpg,WBC-Malignant-Early-636.jpg,2,train,Early,30,1676.5277671588244,128.0598367771364,827.0,1,0.0
53,53,Original/Early/WBC-Malignant-Early-622.jpg,WBC-Malignant-Early-622.jpg,2,train,Early,33,1613.9748670005483,121.1360664015066,376.0,2,13.5
54,54,Original/Early/WBC-Malignant-Early-144.jpg,WBC-Malignant-Early-144.jpg,2,train,Early,25,1576.8627473202864,111.59181519831508,,0,
55,55,Original/Early/WBC-Malignant-Early-178.jpg,WBC-Malignant-Early-178.jpg,2,train,Early,30,1702.3532320083416,113.20762092055575,984.5,1,0.0
56,56,Original/Early/WBC-Malignant-Early-193.jpg,WBC-Malignant-Early-193.jpg,2,train,Early,16,1732.7324226662504,109.00279287901628,62.0,1,0.0
57,57,Original/Early/WBC-Malignant-Early-839.jpg,WBC-Malignant-Early-839.jpg,2,train,Early,15,1533.9119835630834,127.07000535946396,405.5,1,0.0
58,58,Original/Early/WBC-Malignant-Early-187.jpg,WBC-Malignant-Early-187.jpg,2,train,Early,17,1683.0919837484012,117.44457663299563,606.75,2,39.25
59,59,Original/Early/WBC-Malignant-Early-811.jpg,WBC-Malignant-Early-811.jpg,2,train,Early,34,1585.975417950484,114.49776389476756,406.5,1,0.0
60,60,Original/Early/WBC-Malignant-Early-805.jpg,WBC-Malignant-Early-805.jpg,2,train,Early,23,1494.2282549694628,126.94713440870991,,0,
61,61,Original/Early/WBC-Malignant-Early-434.jpg,WBC-Malignant-Early-434.jpg,2,train,Early,22,1703.138903271455,111.5058505571264,368.5,3,62.28295647018265
62,62,Original/Early/WBC-Malignant-Early-352.jpg,WBC-Malignant-Early-352.jpg,2,train,Early,23,1536.766436509129,113.74239563948308,,0,
63,63,Original/Early/WBC-Malignant-Early-346.jpg,WBC-Malignant-Early-346.jpg,2,train,Early,26,1717.6761659523102,118.74814951698984,,0,
64,64,Original/Early/WBC-Malignant-Early-420.jpg,WBC-Malignant-Early-420.jpg,2,train,Early,27,1667.9631437841017,105.58091278572267,441.75,2,47.25
65,65,Original/Early/WBC-Malignant-Early-408.jpg,WBC-Malignant-Early-408.jpg,2,train,Early,34,1713.5545689586836,117.53475391681212,27.0,1,0.0
66,66,Original/Early/WBC-Malignant-Early-391.jpg,WBC-Malignant-Early-391.jpg,2,train,Early,37,1787.9484075148032,119.91805570812512,,0,
67,67,Original/Early/WBC-Malignant-Early-385.jpg,WBC-Malignant-Early-385.jpg,2,train,Early,30,1633.9239748274556,108.85746975169135,522.5,1,0.0
68,68,Original/Early/WBC-Malignant-Early-393.jpg,WBC-Malignant-Early-393.jpg,2,train,Early,25,1647.4975320980025,116.27263132888612,,0,
69,69,Original/Early/WBC-Malignant-Early-387.jpg,WBC-Malignant-Early-387.jpg,2,train,Early,28,1622.4547000214252,105.50278100809754,424.0,1,0.0
70,70,Original/Early/WBC-Malignant-Early-378.jpg,WBC-Malignant-Early-378.jpg,2,train,Early,32,1612.302044744755,118.20217138951764,,0,
71,71,Original/Early/WBC-Malignant-Early-350.jpg,WBC-Malignant-Early-350.jpg,2,train,Early,27,1574.2763640097007,118.7864556879622,463.1666666666667,3,104.46716655911028
